task_id,run_id,mode,provider,model,domain,tier,autonomous_completed,duration_seconds,cost_cents,quality_score,completeness,scoring_source,judge_count,judge_disagreement_points,human_review_recommended,judge_cost_cents,human_baseline_seconds,human_quality_score
design-artifact-viewer-mobile-remediation,design-artifact-viewer-mobile-remediation-r1,local_openai,openai,gpt-5-nano,design,tier1_quick,true,12.46,0.0763,100,1,independent_judges,3,3.33,true,2.1729,3600,91
design-artifact-viewer-mobile-remediation,design-artifact-viewer-mobile-remediation-r2,local_openai,openai,gpt-5-nano,design,tier1_quick,true,13.63,0.0854,100,1,independent_judges,3,8.33,true,2.0094,3600,91
design-live-room-critique,design-live-room-critique-r1,local_openai,openai,gpt-5-nano,design,tier1_quick,true,9.03,0.0567,97.33,0.95,independent_judges,3,5.33,true,1.862,3000,89
design-live-room-critique,design-live-room-critique-r2,local_openai,openai,gpt-5-nano,design,tier1_quick,true,10.79,0.0727,100,1,independent_judges,3,0,true,2.263,3000,89
design-modal-mobile-interaction-spec,design-modal-mobile-interaction-spec-r1,local_openai,openai,gpt-5-nano,design,tier1_quick,true,13.49,0.0787,98.33,0.9,independent_judges,3,13.89,true,2.3192,3900,90
design-modal-mobile-interaction-spec,design-modal-mobile-interaction-spec-r2,local_openai,openai,gpt-5-nano,design,tier1_quick,true,12.37,0.0785,95.56,0.95,independent_judges,3,3.34,true,2.4054,3900,90
marketing-launch-brief,marketing-launch-brief-r1,local_openai,openai,gpt-5-nano,marketing,tier1_quick,true,5.06,0.0331,100,1,independent_judges,3,0,true,1.0911,2700,86
marketing-launch-brief,marketing-launch-brief-r2,local_openai,openai,gpt-5-nano,marketing,tier1_quick,true,6.71,0.0429,100,1,independent_judges,3,0,false,1.2139,2700,86
postmortem,postmortem-r1,local_openai,openai,gpt-5-nano,ops,tier1_quick,true,6.09,0.0434,100,1,independent_judges,3,0,false,1.7416,1800,90
postmortem,postmortem-r2,local_openai,openai,gpt-5-nano,ops,tier1_quick,true,7.1,0.0479,100,1,independent_judges,3,0,false,1.0739,1800,90
pr-description,pr-description-r1,local_openai,openai,gpt-5-nano,engineering,tier1_quick,true,5.2,0.0304,100,1,independent_judges,3,0,false,1.1407,600,85
pr-description,pr-description-r2,local_openai,openai,gpt-5-nano,engineering,tier1_quick,true,4.81,0.0331,100,1,independent_judges,3,0,false,1.1111,600,85
product-initiative-brief,product-initiative-brief-r1,local_openai,openai,gpt-5-nano,product,tier1_quick,true,7.27,0.0431,100,1,independent_judges,3,0,true,1.1889,2400,88
product-initiative-brief,product-initiative-brief-r2,local_openai,openai,gpt-5-nano,product,tier1_quick,true,8.65,0.0503,100,1,independent_judges,3,0,false,1.1235,2400,88
sales-outreach-sequence,sales-outreach-sequence-r1,local_openai,openai,gpt-5-nano,sales,tier1_quick,true,11.5,0.0468,100,1,independent_judges,3,5.71,true,2.5339,2100,84
sales-outreach-sequence,sales-outreach-sequence-r2,local_openai,openai,gpt-5-nano,sales,tier1_quick,true,6.51,0.0372,100,1,independent_judges,3,5.71,true,1.7251,2100,84
cross-functional-launch-plan,cross-functional-launch-plan-r1,local_openai,openai,gpt-5-nano,cross_functional,tier2_medium,true,7.78,0.0588,100,1,independent_judges,3,0,true,1.5702,7200,90
cross-functional-launch-plan,cross-functional-launch-plan-r2,local_openai,openai,gpt-5-nano,cross_functional,tier2_medium,true,8.35,0.0489,100,1,independent_judges,3,7.78,true,1.5741,7200,90
design-live-room-responsive-system,design-live-room-responsive-system-r1,local_openai,openai,gpt-5-nano,design,tier2_medium,true,13.68,0.0864,92.22,0.9,independent_judges,3,11.66,true,2.4448,7200,92
design-live-room-responsive-system,design-live-room-responsive-system-r2,local_openai,openai,gpt-5-nano,design,tier2_medium,true,13.28,0.085,94.44,0.94,independent_judges,2,4.45,true,0.3294,7200,92
engineering-release-readiness-review,engineering-release-readiness-review-r1,local_openai,openai,gpt-5-nano,engineering,tier2_medium,true,13.88,0.0415,100,1,independent_judges,3,0,true,2.4947,3600,89
engineering-release-readiness-review,engineering-release-readiness-review-r2,local_openai,openai,gpt-5-nano,engineering,tier2_medium,true,8.83,0.0471,98,1,independent_judges,3,4,true,2.1492,3600,89
marketing-proof-campaign-brief,marketing-proof-campaign-brief-r1,local_openai,openai,gpt-5-nano,marketing,tier2_medium,true,6.35,0.0389,100,1,independent_judges,3,0,false,1.6076,3300,87
marketing-proof-campaign-brief,marketing-proof-campaign-brief-r2,local_openai,openai,gpt-5-nano,marketing,tier2_medium,true,10.24,0.0564,100,1,independent_judges,3,14.29,true,1.3269,3300,87
ops-escalation-playbook,ops-escalation-playbook-r1,local_openai,openai,gpt-5-nano,ops,tier2_medium,true,6.33,0.0454,100,1,independent_judges,3,5.71,true,1.7381,3900,88
ops-escalation-playbook,ops-escalation-playbook-r2,local_openai,openai,gpt-5-nano,ops,tier2_medium,true,8.46,0.0561,100,1,independent_judges,3,10,true,1.4974,3900,88
